Invoice ID,Customer Id,Product_Code,Quantity,Payment,Rating
235-46-8343,SA-1325,HB-634,10,payment:Credit card,Rating:8
848-95-6252,SA-1326,HLS-209,15,payment:Ewallet,Rating:7
649-11-3678,SA-1327,HB-686,19,payment:Cash,Rating:5
285-68-5083,SA-1330,SL-202,30,payment:Credit card,Rating:10
326-71-2155,SA-1336,SL-202,40,payment:Cash,Rating:6
315-22-5665,SA-1337,HLS-217,20,payment:Ewallet,Rating:8
389-25-3394,SA-1835,EA-305,15,payment:Cash,Rating:9
685-64-1609,UAE-2321,Fa-498,10,payment:Ewallet,Rating:9
273-84-2164,SA-1573,EA-305,15,payment:Cash,Rating:5
190-59-3964,EG-1347,HB-619,5,payment:Credit card,Rating:6
695-09-5146,EG-1349,HB-638,3,payment:Cash,Rating:6
729-09-9681,UAE-1350,HLS-209,6,payment:Cash,Rating:8
308-81-0538,UAE-1806,Fa-417,4,payment:Credit card,Rating:4
871-39-9221,SA-1850,EA-305,16,payment:Cash,Rating:4
382-03-4532,UAE-1358,HB-665,1,payment:Cash,Rating:4
268-20-3585,SA-1362,HB-600,19,payment:Cash,Rating:6
807-14-7833,UAE-2112,EA-305,10,payment:Cash,Rating:7
641-96-3695,SA-2264,Fa-467,16,payment:Cash,Rating:8
857-67-9057,EG-1581,SL-208,2,payment:Cash,Rating:8
396-90-2219,EG-1408,SL-212,2,payment:Cash,Rating:8
635-28-5728,UAE-1373,SL-206,3,payment:Credit card,Rating:4
376-56-3573,SA-1403,SL-213,14,payment:Ewallet,Rating:8
284-34-9626,EG-1384,HLS-215,3,payment:Credit card,Rating:7
443-59-0061,UAE-1386,HB-685,10,payment:Ewallet,Rating:10
459-45-2396,UAE-1389,HB-679,3,payment:Cash,Rating:5
443-82-0585,UAE-1395,HB-656,4,payment:Cash,Rating:8
200-40-6154,EG-1397,HLS-211,6,payment:Cash,Rating:5
767-54-1907,EG-1998,Fa-451,5,payment:Cash,Rating:6
440-59-5691,SA-1401,HB-648,17,payment:Credit card,Rating:7
237-01-6122,SA-1404,HLS-201,9,payment:Credit card,Rating:9
511-54-3087,EG-1405,SL-216,1,payment:Credit card,Rating:9
582-52-8065,EG-1660,Fa-402,2,payment:Cash,Rating:8
400-60-7251,UAE-1411,HLS-220,1,payment:Cash,Rating:9
777-67-2495,EG-1419,HLS-206,3,payment:Cash,Rating:8
853-23-2453,EG-1420,HB-607,4,payment:Cash,Rating:7
669-54-1719,EG-1633,EA-306,6,payment:Credit card,Rating:8
150-89-8043,UAE-1427,SL-211,3,payment:Cash,Rating:6
324-92-3863,UAE-2300,EA-306,2,payment:Cash,Rating:9
374-17-3652,EG-1432,HB-621,2,payment:Credit card,Rating:8
648-94-3045,SA-1441,SL-201,10,payment:Ewallet,Rating:8
626-43-7888,SA-1464,SL-207,8,payment:Cash,Rating:9
105-10-6182,UAE-2155,SL-209,2,payment:Cash,Rating:6
370-41-7321,EG-1453,HB-664,2,payment:Credit card,Rating:8
471-06-8611,SA-1459,HB-679,15,payment:Credit card,Rating:6
729-46-7422,SA-1463,HB-617,15,payment:Credit card,Rating:7
181-94-6432,SA-1999,Fa-460,15,payment:Cash,Rating:9
321-49-7382,EG-1466,SL-203,1,payment:Credit card,Rating:5
242-11-3142,EG-1796,Fa-416,2,payment:Cash,Rating:4
236-86-3015,SA-1469,HLS-214,15,payment:Cash,Rating:9
551-21-3069,SA-1344,EA-307,9,payment:Cash,Rating:4
827-44-5872,EG-1474,HB-689,2,payment:Credit card,Rating:6
418-02-5978,EG-1480,HB-614,2,payment:Cash,Rating:8
307-04-2070,UAE-1616,Fa-444,1,payment:Cash,Rating:4
269-04-5750,EG-1995,Fa-465,4,payment:Cash,Rating:6
142-72-4741,SA-1376,Fa-497,15,payment:Credit card,Rating:6
641-51-2661,SA-1489,HB-686,10,payment:Credit card,Rating:9
