Invoice ID,Customer Id,Product_Code,Quantity,Payment,Rating
484-22-8230,SA-2005,Fa-443,7,payment:Cash,Rating:4
237-44-6163,UAE-1527,EA-305,8,payment:Cash,Rating:7
749-24-1565,UAE-1332,HB-634,9,payment:Ewallet,Rating:7
606-80-4905,SA-1334,SL-212,6,payment:Credit card,Rating:6
859-71-0933,SA-1335,SL-206,12,payment:Cash,Rating:6
482-17-1179,UAE-2028,EA-305,3,payment:Credit card,Rating:8
761-49-0439,EG-2046,EA-305,2,payment:Cash,Rating:8
556-86-3144,SA-2199,Fa-467,12,payment:Cash,Rating:5
226-34-0034,EG-1371,EA-306,4,payment:Ewallet,Rating:9
372-62-5264,SA-1359,HB-696,9,payment:Cash,Rating:7
887-42-0517,SA-1361,SL-200,7,payment:Credit card,Rating:6
173-82-9529,EG-1950,Fa-413,10,payment:Cash,Rating:9
847-38-7188,EG-1364,HB-633,3,payment:Cash,Rating:6
577-34-7579,SA-1365,HB-623,9,payment:Cash,Rating:5
233-67-5758,SA-1370,SL-200,12,payment:Ewallet,Rating:6
459-50-7686,UAE-2139,SL-200,6,payment:Cash,Rating:6
287-21-9091,UAE-1375,SL-212,9,payment:Ewallet,Rating:9
109-28-2512,EG-1412,SL-206,2,payment:Ewallet,Rating:9
410-67-1709,UAE-1381,Fa-401,8,payment:Ewallet,Rating:9
592-34-6155,SA-1382,HB-614,12,payment:Ewallet,Rating:6
726-27-2396,UAE-1383,HB-678,5,payment:Credit card,Rating:4
852-62-7105,EG-1363,Fa-467,10,payment:Credit card,Rating:4
726-29-6793,UAE-2064,EA-307,8,payment:Cash,Rating:9
400-89-4171,SA-1390,SL-209,8,payment:Cash,Rating:9
613-59-9758,SA-1391,SL-214,10,payment:Cash,Rating:5
327-40-9673,EG-1393,SL-216,2,payment:Cash,Rating:6
477-59-2456,SA-2030,Fa-465,7,payment:Cash,Rating:9
687-15-1097,SA-1402,HB-637,12,payment:Cash,Rating:9
670-71-7306,EG-1407,SL-204,2,payment:Credit card,Rating:5
243-47-2663,SA-1926,EA-306,6,payment:Credit card,Rating:5
381-20-0914,UAE-1862,Fa-417,9,payment:Credit card,Rating:5
234-65-2137,SA-1413,HLS-205,10,payment:Cash,Rating:10
534-01-4457,UAE-1414,HB-629,6,payment:Credit card,Rating:8
699-88-1972,EG-1417,HB-637,2,payment:Credit card,Rating:10
888-02-0338,UAE-2274,EA-308,9,payment:Cash,Rating:5
401-18-8016,EG-1426,SL-218,1,payment:Cash,Rating:8
187-83-5490,UAE-2317,EA-306,4,payment:Cash,Rating:4
544-55-9589,EG-1941,EA-306,10,payment:Cash,Rating:6
735-32-9839,SA-1590,Fa-434,8,payment:Cash,Rating:8
760-27-5490,SA-1351,SL-212,8,payment:Ewallet,Rating:9
787-87-2010,UAE-1443,SL-213,4,payment:Credit card,Rating:6
817-48-8732,UAE-1450,HLS-203,10,payment:Cash,Rating:5
647-50-1224,UAE-1968,Fa-409,10,payment:Cash,Rating:8
744-09-5786,EG-1703,EA-307,2,payment:Cash,Rating:7
241-96-5076,EG-1458,HLS-214,2,payment:Credit card,Rating:6
882-40-4577,UAE-1460,SL-215,4,payment:Credit card,Rating:8
633-91-1052,UAE-1468,HLS-220,2,payment:Cash,Rating:5
728-47-9078,SA-1471,HB-655,12,payment:Cash,Rating:9
593-65-1552,SA-1472,HLS-206,12,payment:Credit card,Rating:5
869-11-3082,EG-1475,HB-672,4,payment:Credit card,Rating:8
305-89-2768,EG-1477,HLS-218,3,payment:Cash,Rating:10
566-19-5475,EG-1698,Fa-493,2,payment:Cash,Rating:8
132-23-6451,UAE-1491,HB-673,5,payment:Cash,Rating:7
280-17-4359,SA-1492,HB-677,10,payment:Cash,Rating:8
182-69-8360,EG-2153,EA-307,4,payment:Cash,Rating:4
841-18-8232,EG-1500,HB-642,1,payment:Credit card,Rating:9
870-54-3162,UAE-1503,SL-206,5,payment:Cash,Rating:9
435-13-4908,UAE-1776,Fa-415,8,payment:Credit card,Rating:7
434-83-9547,SA-1508,HB-624,8,payment:Cash,Rating:7
677-11-0152,SA-1509,HB-657,9,payment:Cash,Rating:8
349-97-8902,EG-1512,HB-691,2,payment:Cash,Rating:8
539-21-7227,EG-1516,SL-204,5,payment:Cash,Rating:10
301-11-9629,UAE-1517,SL-213,7,payment:Cash,Rating:9
195-06-0432,UAE-1519,HLS-209,3,payment:Credit card,Rating:9
640-49-2076,EG-1520,SL-207,2,payment:Cash,Rating:5
583-72-1480,SA-2094,EA-308,12,payment:Cash,Rating:9
575-67-1508,UAE-2166,EA-308,1,payment:Cash,Rating:6
573-98-8548,SA-1680,Fa-412,12,payment:Cash,Rating:9
744-02-5987,UAE-1529,HLS-206,6,payment:Cash,Rating:5
659-36-1684,SA-1530,SL-215,7,payment:Credit card,Rating:6
387-49-4215,EG-1531,SL-214,3,payment:Cash,Rating:6
832-51-6761,UAE-1532,HB-647,8,payment:Cash,Rating:9
134-54-4720,EG-1499,EA-311,2,payment:Cash,Rating:5
458-10-8612,SA-1538,HB-616,7,payment:Ewallet,Rating:7
