Invoice ID,Customer Id,Product_Code,Quantity,Payment,Rating
544-32-5024,SA-1328,HB-678,4,payment:CA,Rating:6
545-46-3100,EG-1786,EA-305,3,payment:CA,Rating:8
655-85-5130,EG-2275,Fa-465,4,payment:CSH,Rating:5
299-29-0180,EG-1341,HLS-205,7,payment:CSH,Rating:9
630-74-5166,UAE-1342,SL-216,6,payment:CSH,Rating:7
701-23-5550,EG-1345,HLS-207,4,payment:CSH,Rating:4
302-15-2162,SA-1346,HB-659,6,payment:CA,Rating:4
212-62-1842,UAE-1352,HB-649,6,payment:CSH,Rating:9
346-84-3103,EG-1981,EA-305,5,payment:CA,Rating:4
748-45-2862,UAE-1357,HLS-212,4,payment:CSH,Rating:8
689-05-1884,UAE-1360,HB-603,10,payment:CSH,Rating:8
333-73-7901,SA-1368,HB-661,8,payment:CSH,Rating:7
246-55-6923,SA-1374,SL-201,9,payment:CA,Rating:5
226-31-3081,SA-1793,SL-207,5,payment:CSH,Rating:9
373-09-4567,SA-1379,SL-209,10,payment:WA,Rating:6
303-96-2227,EG-1380,SL-216,10,payment:CA,Rating:4
169-52-4504,UAE-1959,EA-305,3,payment:CA,Rating:5
219-22-9386,EG-1392,SL-219,9,payment:Credit card,Rating:10
560-30-5617,EG-1394,SL-220,5,payment:CSH,Rating:8
227-50-3718,UAE-1396,HB-667,5,payment:CSH,Rating:10
776-68-1096,EG-1399,HLS-202,3,payment:CA,Rating:7
687-15-1097,SA-1402,HB-637,2,payment:CSH,Rating:9
301-81-8610,EG-1848,Fa-456,8,payment:CA,Rating:6
607-76-6216,SA-2259,Fa-426,5,payment:CA,Rating:8
793-10-3222,EG-1409,HB-669,6,payment:CA,Rating:8
308-47-4913,UAE-1415,SL-211,10,payment:CA,Rating:6
727-17-0390,UAE-1416,HB-617,5,payment:CSH,Rating:10
550-84-8664,UAE-1418,SL-212,5,payment:CA,Rating:8
379-17-6588,SA-1842,Fa-498,10,payment:CSH,Rating:5
346-12-3257,EG-1733,EA-306,9,payment:CSH,Rating:8
134-75-2619,UAE-1539,EA-306,7,payment:CSH,Rating:6
733-33-4967,SA-1974,EA-306,8,payment:CSH,Rating:6
336-78-2147,SA-1430,HLS-210,8,payment:CSH,Rating:4
636-98-3364,EG-2056,EA-308,3,payment:WA,Rating:6
512-98-1403,UAE-1599,SL-208,3,payment:CSH,Rating:10
485-30-8700,UAE-1437,SL-200,5,payment:CSH,Rating:4
106-35-6779,UAE-1438,SL-212,2,payment:CSH,Rating:5
628-90-8624,EG-1439,SL-200,10,payment:CSH,Rating:5
795-49-7276,UAE-2305,SL-206,4,payment:WA,Rating:8
115-99-4379,EG-1832,SL-206,7,payment:CA,Rating:8
743-04-1105,EG-1447,SL-216,9,payment:CSH,Rating:6
593-95-4461,SA-1448,HLS-211,1,payment:CSH,Rating:6
254-31-0042,UAE-1803,EA-306,9,payment:CA,Rating:7
848-42-2560,UAE-1886,Fa-443,2,payment:CSH,Rating:7
174-75-0888,EG-1369,EA-307,9,payment:CSH,Rating:7
399-69-4630,SA-1605,EA-307,6,payment:CA,Rating:8
186-71-5196,UAE-1457,HB-655,2,payment:CSH,Rating:6
453-63-6187,EG-2091,EA-308,3,payment:CSH,Rating:6
394-30-3170,EG-1462,SL-203,8,payment:CSH,Rating:4
749-81-8133,UAE-1779,Fa-479,4,payment:CSH,Rating:6
186-79-9562,EG-1470,HB-606,7,payment:CSH,Rating:8
449-27-2918,EG-1476,SL-201,1,payment:CA,Rating:9
558-80-4082,SA-2312,EA-308,7,payment:CSH,Rating:6
848-62-7243,UAE-1482,HB-699,9,payment:CSH,Rating:7
425-85-2085,EG-1485,HB-644,5,payment:CSH,Rating:9
587-73-4862,UAE-1486,HB-673,5,payment:CSH,Rating:7
127-47-6963,UAE-1487,HB-610,4,payment:CA,Rating:9
154-87-7367,SA-1488,HLS-217,8,payment:WA,Rating:6
324-41-6833,SA-1339,EA-308,8,payment:WA,Rating:5
608-04-3797,EG-1506,HB-654,8,payment:CSH,Rating:8
827-26-2100,UAE-1507,HLS-207,9,payment:CSH,Rating:8
568-88-3448,UAE-1510,HB-662,1,payment:CSH,Rating:5
253-12-6086,UAE-1513,SL-219,7,payment:CA,Rating:8
865-92-6136,UAE-1514,HB-616,3,payment:CSH,Rating:9
218-59-9410,UAE-1515,HLS-204,3,payment:CSH,Rating:8
156-20-0370,EG-2111,EA-308,1,payment:CA,Rating:5
529-56-3974,EG-2043,EA-308,4,payment:CSH,Rating:6
531-80-1784,UAE-2303,EA-308,7,payment:CSH,Rating:5
514-37-2845,EG-1829,Fa-404,2,payment:CSH,Rating:9
548-48-3156,UAE-1533,HB-626,2,payment:CSH,Rating:7
523-38-0215,SA-1535,HLS-214,1,payment:CA,Rating:7
474-33-8305,SA-1481,Fa-440,7,payment:WA,Rating:8
420-04-7590,EG-1537,HLS-200,3,payment:WA,Rating:10
499-27-7781,EG-1542,HB-672,8,payment:WA,Rating:5
716-39-1409,EG-1544,HB-691,7,payment:CSH,Rating:8
175-54-2529,UAE-1549,HB-632,8,payment:CA,Rating:9
468-99-7231,SA-1553,HLS-214,8,payment:CSH,Rating:8
728-88-7867,SA-1559,HLS-214,4,payment:CSH,Rating:8
462-78-5240,SA-2307,EA-308,2,payment:CSH,Rating:10
238-49-0436,UAE-1565,HB-661,8,payment:CA,Rating:10
325-77-6186,UAE-1566,HLS-220,10,payment:CSH,Rating:7
